"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ksr",-0.373846200480202,1.92613086099307,-1.51307270237308,0.13410960193275,0.13410960193275,-6.18365127329063
"CG4174",-0.386110457779875,0.391877572133983,-1.51263798017721,0.134219925239399,0.134219925239399,-6.18429602845169
"sbb",-0.769595086509727,3.05761252525997,-1.51263235568279,0.134221353085425,0.134221353085425,-6.18430436923319
"sut2",-0.520125414148534,1.66158109616259,-1.51174292761751,0.134447295720843,0.134447295720843,-6.18562296775606
"Kap3",-0.514767456366931,3.30397426794846,-1.5116562009294,0.134469343035288,0.134469343035288,-6.18575150292339
"ALiX",0.518104691286538,4.42190257537442,1.5113493281357,0.134547377875772,0.134547377875772,-6.18620625441486
"trsn",0.638057484752303,6.06600573914374,1.51118386126729,0.134589469323189,0.134589469323189,-6.18645142176196
"CG18234",-0.220767530444932,0.114942536447355,-1.51090267950156,0.134661020090956,0.134661020090956,-6.18686798222603
"ValRS",-0.587530889929718,3.61366074978618,-1.51077186185094,0.134694318739251,0.134694318739251,-6.18706175879124
"CG15385",0.582001756227827,3.33093982382776,1.51060720989879,0.134736238867096,0.134736238867096,-6.18730563062053
"CG5613",-0.52144548571013,2.01387173926321,-1.5095217562346,0.135012850725145,0.135012850725145,-6.18891270542562
"CG10880",-0.683874838040099,3.27746491574346,-1.5093464345316,0.135057570767771,0.135057570767771,-6.18917217653509
"CG13251",-0.0870701215531752,0.0524080275334183,-1.50861979235991,0.135243042720953,0.135243042720953,-6.19024728233022
"CG32772",-0.503356946675432,2.77449927704397,-1.50845819685331,0.135284316431225,0.135284316431225,-6.19048630494254
"CG3618",0.443158195616664,2.03664172531467,1.50787694668673,0.135432857639214,0.135432857639214,-6.19134585596359
"chn",-0.940516338465592,3.31170357785062,-1.50681107914007,0.13570557842375,0.13570557842375,-6.19292124368537
"CG3008",-0.591746871893466,5.23344452890491,-1.50671413327751,0.135730405126227,0.135730405126227,-6.19306448062396
"CG12375",-0.59450149652433,5.47028376916924,-1.50591813611908,0.135934385792151,0.135934385792151,-6.19424023209807
"CG9205",-0.507067256887725,4.81452302484833,-1.50469105138967,0.136249308236043,0.136249308236043,-6.19605158306669
"Cyt-c1L",1.04410979538858,2.50321157935497,1.50456473984597,0.136281757713963,0.136281757713963,-6.19623795751745
"alpha-Est9",-0.665423886557905,4.34641790442754,-1.50308797352797,0.136661590345513,0.136661590345513,-6.1984158487511
"Amy-p",-1.36126623827103,4.51305040945707,-1.50302152405675,0.136678701063818,0.136678701063818,-6.19851379889319
"Pdk",0.509574776510201,4.78092642588275,1.50295943103834,0.136694691518389,0.136694691518389,-6.19860532368358
"CG14892",-0.330611049665273,0.360369445261272,-1.50207468959541,0.136922693582322,0.136922693582322,-6.19990903938691
"ERp60",0.550027340962938,7.08053699967618,1.50157628510525,0.137051266286656,0.137051266286656,-6.20064314627255
"CG31111",-0.592284964734976,2.130556027341,-1.50153137356579,0.137062856709918,0.137062856709918,-6.20070928578008
"Gfat2",0.603750236490888,4.59579732216171,1.50143191929844,0.137088525839696,0.137088525839696,-6.20085574161624
"CG2846",-0.891901323412964,4.95525430417598,-1.50092250985448,0.137220063544449,0.137220063544449,-6.20160575139346
"CG14795",1.15556429796356,3.41518393705608,1.50064028349714,0.137292981589018,0.137292981589018,-6.2020211730514
"antr",0.693125530121741,1.37458300633227,1.49940951671657,0.137611327195218,0.137611327195218,-6.20383192984336
"CG34045",-0.55874368885042,1.14373588874756,-1.49921391170869,0.137661975000885,0.137661975000885,-6.20411958282469
"ppk18",-0.504605566813901,0.397993815651004,-1.49896922133183,0.137725353035526,0.137725353035526,-6.20447936980846
"CG9376",-0.667356345893825,3.9890926909574,-1.49866106630104,0.137805201840844,0.137805201840844,-6.20493239465929
"CG34159",0.615255284162969,6.88411374212396,1.49806044546645,0.13796093852051,0.13796093852051,-6.20581512597083
"CG13196",-0.464676582840394,0.81205960870524,-1.49686229865302,0.138272022047213,0.138272022047213,-6.20757503969056
"oc",0.379110165202178,0.64377852252726,1.49600199855263,0.138495727301208,0.138495727301208,-6.20883788072687
"DMAP1",-0.513349479279046,4.20036061360828,-1.49596943798733,0.138504199652394,0.138504199652394,-6.20888566313035
"Prosap",-0.496862843167379,2.80308835684775,-1.4954795364948,0.138631722497042,0.138631722497042,-6.20960447133245
"crp",-0.550116377320059,2.81172044659741,-1.49463623736106,0.138851451533949,0.138851451533949,-6.21084128037839
"CG3651",-0.539100460893253,3.15502705965708,-1.49404478928662,0.13900572145555,0.13900572145555,-6.21170832270558
"CG13193",0.0888700468615173,0.0111087558576897,1.49265417602524,0.139368970582281,0.139368970582281,-6.2137456334432
"Ddr",0.341196609965639,0.822424440153169,1.49182542899656,0.13958580543347,0.13958580543347,-6.21495893074173
"CG17599",-0.164314149117062,0.145626262646147,-1.49158187324413,0.139649580044742,0.139649580044742,-6.21531537848097
"Sucb",0.9794799736888,7.48415042509749,1.49122580024613,0.139742858180236,0.139742858180236,-6.21583639783221
"CG15115",0.295333135166299,0.168686710743946,1.49119541207716,0.139750821032783,0.139750821032783,-6.21588085748439
"Pex12",0.772326129616335,4.35906824100373,1.49113998031659,0.139765347171889,0.139765347171889,-6.21596195515257
"Cyp6u1",-0.511217633285977,4.03552133565685,-1.49009214398579,0.140040159991449,0.140040159991449,-6.21749442162633
"jeb",-0.293282315471428,0.37372587890432,-1.48982570019978,0.140110106856422,0.140110106856422,-6.21788393446712
"CG33632",1.28494660194719,1.52700834415116,1.48974982746553,0.140130029984794,0.140130029984794,-6.21799484037215
"CG34450",-0.920947742909358,3.2148417880868,-1.48969288633029,0.140144983395499,0.140144983395499,-6.21807806976437
