"Gene","Mechanism","Factor"
"Start1","Cis x Trans","Stage"
"CG10492","Cis x Trans","Stage"
"CG10700","Cis x Trans","Stage"
"mRpS9","Cis x Trans","Stage"
"VGlut","Cis x Trans","Stage"
"CG7718","Cis x Trans","Stage"
"Trpgamma","Cis x Trans","Stage"
"Ercc1","Cis x Trans","Stage"
"AIMP1","Cis x Trans","Stage"
"Vti1a","Cis x Trans","Stage"
"CG8778","Cis x Trans","Stage"
"Or63a","Cis x Trans","Stage"
"CG42553","Cis x Trans","Stage"
"sigmar","Cis x Trans","Stage"
"CG9004","Cis x Trans","Stage"
"CG34195","Cis x Trans","Stage"
"papi","Cis x Trans","Stage"
"Csl4","Cis x Trans","Stage"
"CG10959","Cis x Trans","Stage"
"alpha-Man-Ia","Cis x Trans","Stage"
"DptB","Cis x Trans","Stage"
"CG16799","Cis x Trans","Stage"
"Pol32","Cis x Trans","Stage"
"CG1698","Cis x Trans","Stage"
"sesB","Cis x Trans","Stage"
"CG2129","Cis x Trans","Stage"
"Pkg21D","Cis x Trans","Stage"
"CG32568","Cis x Trans","Stage"
"CG9527","Cis x Trans","Stage"
"pigeon","Cis x Trans","Stage"
"CG33116","Cis x Trans","Stage"
"CG9609","Cis x Trans","Stage"
"Pen","Cis x Trans","Stage"
"pkaap","Cis x Trans","Stage"
"CG42750","Cis x Trans","Stage"
"aralar1","Cis x Trans","Stage"
"E(spl)m3-HLH","Cis x Trans","Stage"
"CG13000","Cis x Trans","Stage"
"CG12541","Cis x Trans","Stage"
"Nup358","Cis x Trans","Stage"
"CG15431","Cis x Trans","Stage"
"LRP1","Cis x Trans","Stage"
"CG2772","Cis x Trans","Stage"
"tilB","Cis x Trans","Stage"
"grnd","Cis x Trans","Stage"
"DhpD","Cis x Trans","Stage"
"Tgt","Cis x Trans","Stage"
"Slbp","Cis x Trans","Stage"
"COX7C","Cis x Trans","Stage"
"Rim","Cis x Trans","Stage"
"p130CAS","Cis x Trans","Stage"
"CG34216","Cis x Trans","Stage"
"hts","Cis x Trans","Stage"
"Art8","Cis x Trans","Stage"
"ovm","Cis x Trans","Stage"
"CG30283","Cis x Trans","Stage"
"pygo","Cis x Trans","Stage"
"mtsh","Cis x Trans","Stage"
"CG14512","Cis x Trans","Stage"
"CG1371","Cis x Trans","Stage"
"Ir47a","Cis x Trans","Stage"
"CG30497","Cis x Trans","Stage"
"Osi6","Cis x Trans","Stage"
"CG31108","Cis x Trans","Stage"
"CG14810","Cis x Trans","Stage"
"RhoU","Cis x Trans","Stage"
"fa2h","Cis x Trans","Stage"
"egl","Cis x Trans","Stage"
"Tsf3","Cis x Trans","Stage"
"CG9507","Cis x Trans","Stage"
"CG13563","Cis x Trans","Stage"
"CG15742","Cis x Trans","Stage"
"CG14647","Cis x Trans","Stage"
"CG4953","Cis x Trans","Stage"
"CG3713","Cis x Trans","Stage"
"noc","Cis x Trans","Stage"
"CG1074","Cis x Trans","Stage"
"Bap170","Cis x Trans","Stage"
"CG34214","Cis x Trans","Stage"
"Fib","Cis x Trans","Stage"
"CG17180","Cis x Trans","Stage"
"Sirup","Cis x Trans","Stage"
"CG9400","Cis x Trans","Stage"
"CG18480","Cis x Trans","Stage"
"CG16787","Cis x Trans","Stage"
"CG31493","Cis x Trans","Stage"
"Sox14","Cis x Trans","Stage"
"SmydA-9","Cis x Trans","Stage"
"CG30273","Cis x Trans","Stage"
"CG7365","Cis x Trans","Stage"
"CG13566","Cis x Trans","Stage"
"Ir21a","Cis x Trans","Stage"
"CG13698","Cis x Trans","Stage"
"CG7916","Cis x Trans","Stage"
"CG9727","Cis x Trans","Stage"
"CG17996","Cis x Trans","Stage"
"CG11882","Cis x Trans","Stage"
"MESR4","Cis x Trans","Stage"
"CG43333","Cis x Trans","Stage"
"CG3793","Cis x Trans","Stage"
"CG4901","Cis x Trans","Stage"
"AnxB11","Cis x Trans","Stage"
"fz3","Cis x Trans","Stage"
"Acp76A","Cis x Trans","Stage"
"TwdlG","Cis x Trans","Stage"
"CG33757","Cis x Trans","Stage"
"Orc6","Cis x Trans","Stage"
"CG31324","Cis x Trans","Stage"
"CG10561","Cis x Trans","Stage"
"S","Cis x Trans","Stage"
"CG10151","Cis x Trans","Stage"
"CG15398","Cis x Trans","Stage"
"Vha100-2","Cis x Trans","Stage"
"PH4alphaNE2","Cis x Trans","Stage"
"Dhc62B","Cis x Trans","Stage"
"CG32278","Cis x Trans","Stage"
"CG16758","Cis x Trans","Stage"
"CG15818","Cis x Trans","Stage"
"CG15309","Cis x Trans","Stage"
"AsnRS","Cis x Trans","Stage"
"CG4495","Cis x Trans","Stage"
"pdm3","Cis x Trans","Stage"
"FKBP59","Cis x Trans","Stage"
"CG5390","Cis x Trans","Stage"
"CG10073","Cis x Trans","Stage"
"CG31659","Cis x Trans","Stage"
"CG13705","Cis x Trans","Stage"
"CG14082","Cis x Trans","Stage"
"CG11178","Cis x Trans","Stage"
"CG10357","Cis x Trans","Stage"
"CG15368","Cis x Trans","Stage"
"CG10413","Cis x Trans","Stage"
"grk","Cis x Trans","Stage"
"Cpr64Ad","Cis x Trans","Stage"
"TwdlD","Cis x Trans","Stage"
"CG14957","Cis x Trans","Stage"
"psq","Cis x Trans","Stage"
"CG32573","Cis x Trans","Stage"
"CG7028","Cis x Trans","Stage"
"CG4768","Cis x Trans","Stage"
"CG11362","Cis x Trans","Stage"
"Acp53C14a","Cis x Trans","Stage"
"dgt6","Cis x Trans","Stage"
"CG6420","Cis x Trans","Stage"
"Etl1","Cis x Trans","Stage"
"Oseg4","Cis x Trans","Stage"
"CG12975","Cis x Trans","Stage"
"CG14079","Cis x Trans","Stage"
"Fem-1","Cis x Trans","Stage"
"Ance-3","Cis x Trans","Stage"
"CG8837","Cis x Trans","Stage"
"CG10195","Cis x Trans","Stage"
"CG9865","Cis x Trans","Stage"
"CG15674","Cis x Trans","Stage"
"E(bx)","Cis x Trans","Stage"
"Cyp6a9","Cis x Trans","Stage"
"CG15270","Cis x Trans","Stage"
"CG4653","Cis x Trans","Stage"
"CG5860","Cis x Trans","Stage"
"CG32246","Cis x Trans","Stage"
"CG34134","Cis x Trans","Stage"
"AkhR","Cis x Trans","Stage"
"CG18812","Cis x Trans","Stage"
"bif","Cis x Trans","Stage"
"amon","Cis x Trans","Stage"
"CG1416","Cis x Trans","Stage"
"CG9986","Cis x Trans","Stage"
"UQCR-6.4","Cis x Trans","Stage"
"CG11825","Cis x Trans","Stage"
"CG12299","Cis x Trans","Stage"
"Ppcs","Cis x Trans","Stage"
"E(Pc)","Cis x Trans","Stage"
"BtbVII","Cis x Trans","Stage"
"CG16884","Cis x Trans","Stage"
"Mdr50","Cis x Trans","Stage"
"CG15152","Cis x Trans","Stage"
"CG2121","Cis x Trans","Stage"
"CG10424","Cis x Trans","Stage"
"Dh31","Cis x Trans","Stage"
"CG9682","Cis x Trans","Stage"
"fra","Cis x Trans","Stage"
"swi2","Cis x Trans","Stage"
"CG13252","Cis x Trans","Stage"
"CG17985","Cis x Trans","Stage"
"CG11898","Cis x Trans","Stage"
"wuho","Cis x Trans","Stage"
"CG7882","Cis x Trans","Stage"
"csw","Cis x Trans","Stage"
"gcm2","Cis x Trans","Stage"
"Mlh1","Cis x Trans","Stage"
"cg","Cis x Trans","Stage"
"bwa","Cis x Trans","Stage"
"modSP","Cis x Trans","Stage"
"MsR2","Cis x Trans","Stage"
"milt","Cis x Trans","Stage"
"Fatp","Cis x Trans","Stage"
"stac","Cis x Trans","Stage"
"CG8067","Cis x Trans","Stage"
"CG7461","Cis x Trans","Stage"
"Irc","Cis x Trans","Stage"
"CG7420","Cis x Trans","Stage"
"CG12239","Cis x Trans","Stage"
"CG2321","Cis x Trans","Stage"
"Ric","Cis x Trans","Stage"
"Suv3","Cis x Trans","Stage"
"CG14805","Cis x Trans","Stage"
"GstE9","Cis x Trans","Stage"
"Nle","Cis x Trans","Stage"
"CG13380","Cis x Trans","Stage"
"CG13154","Cis x Trans","Stage"
"CG33453","Cis x Trans","Stage"
"CG10495","Cis x Trans","Stage"
"Ccp84Ad","Cis x Trans","Stage"
"CG8628","Cis x Trans","Stage"
"jim","Cis x Trans","Stage"
"Cht6","Cis x Trans","Stage"
"disco-r","Cis x Trans","Stage"
"CG10472","Cis x Trans","Stage"
"CG2157","Cis x Trans","Stage"
"CG4577","Cis x Trans","Stage"
"rdo","Cis x Trans","Stage"
"Gp210","Cis x Trans","Stage"
"CG13331","Cis x Trans","Stage"
"Cpr60D","Cis x Trans","Stage"
"Asciz","Cis x Trans","Stage"
"CG14567","Cis x Trans","Stage"
"CanA-14F","Cis x Trans","Stage"
"CG15120","Cis x Trans","Stage"
"CG10063","Cis x Trans","Stage"
"REG","Cis x Trans","Stage"
"CG8249","Cis x Trans","Stage"
"Gdi","Cis x Trans","Stage"
"CG11030","Cis x Trans","Stage"
"CG10019","Cis x Trans","Stage"
"inaE","Cis x Trans","Stage"
"bchs","Cis x Trans","Stage"
"Rabex-5","Cis x Trans","Stage"
"eco","Cis x Trans","Stage"
"CG7601","Cis x Trans","Stage"
"CG14882","Cis x Trans","Stage"
"CG13081","Cis x Trans","Stage"
"VepD","Cis x Trans","Stage"
"Rab32","Cis x Trans","Stage"
"CG12540","Cis x Trans","Stage"
"CG3770","Cis x Trans","Stage"
"glu","Cis x Trans","Stage"
"amd","Cis x Trans","Stage"
"xmas-2","Cis x Trans","Stage"
"sel","Cis x Trans","Stage"
"AdoR","Cis x Trans","Stage"
"CG4882","Cis x Trans","Stage"
"CG8950","Cis x Trans","Stage"
"rig","Cis x Trans","Stage"
"CG11883","Cis x Trans","Stage"
"CG1827","Cis x Trans","Stage"
"brk","Cis x Trans","Stage"
"isopeptidase-T-3","Cis x Trans","Stage"
"CG14427","Cis x Trans","Stage"
"Rev1","Cis x Trans","Stage"
"CG13949","Cis x Trans","Stage"
"Hnf4","Cis x Trans","Stage"
"phyl","Cis x Trans","Stage"
"CG31957","Cis x Trans","Stage"
"daw","Cis x Trans","Stage"
"lic","Cis x Trans","Stage"
"CG7033","Cis x Trans","Stage"
"CG41520","Cis x Trans","Stage"
"lap","Cis x Trans","Stage"
"Usp14","Cis x Trans","Stage"
"CG11041","Cis x Trans","Stage"
"Jafrac1","Cis x Trans","Stage"
"asf1","Cis x Trans","Stage"
"okr","Cis x Trans","Stage"
"drosha","Cis x Trans","Stage"
"mtSSB","Cis x Trans","Stage"
"CG16753","Cis x Trans","Stage"
"thr","Cis x Trans","Stage"
"CG14879","Cis x Trans","Stage"
"CG15531","Cis x Trans","Stage"
"GMF","Cis x Trans","Stage"
"POLDIP2","Cis x Trans","Stage"
"CG32767","Cis x Trans","Stage"
"CG17477","Cis x Trans","Stage"
"CG7506","Cis x Trans","Stage"
"smid","Cis x Trans","Stage"
"dnt","Cis x Trans","Stage"
"Orc5","Cis x Trans","Stage"
"Acox57D-p","Cis x Trans","Stage"
"Elp2","Cis x Trans","Stage"
"CG3409","Cis x Trans","Stage"
"Vps2","Cis x Trans","Stage"
"wek","Cis x Trans","Stage"
"D2hgdh","Cis x Trans","Stage"
"CG34323","Cis x Trans","Stage"
"CG10513","Cis x Trans","Stage"
"CG44329","Cis x Trans","Stage"
"apt","Cis x Trans","Stage"
"Sas-4","Cis x Trans","Stage"
"CG1550","Cis x Trans","Stage"
"CG15760","Cis x Trans","Stage"
"Ncoa6","Cis x Trans","Stage"
"CG34124","Cis x Trans","Stage"
"ppk11","Cis x Trans","Stage"
"CG9062","Cis x Trans","Stage"
"CG13711","Cis x Trans","Stage"
"CG1882","Cis x Trans","Stage"
"sub","Cis x Trans","Stage"
"NaPi-T","Cis x Trans","Stage"
"dlt","Cis x Trans","Stage"
"osp","Cis x Trans","Stage"
"e(y)2b","Cis x Trans","Stage"
"CG11377","Cis x Trans","Stage"
"CG11275","Cis x Trans","Stage"
"Rbcn-3A","Cis x Trans","Stage"
"CG8839","Cis x Trans","Stage"
"CG4281","Cis x Trans","Stage"
"jigr1","Cis x Trans","Stage"
"Inx2","Cis x Trans","Stage"
"N","Cis x Trans","Stage"
"mRpS2","Cis x Trans","Stage"
"Osi11","Cis x Trans","Stage"
"hec","Cis x Trans","Stage"
"CG14410","Cis x Trans","Stage"
"CG15082","Cis x Trans","Stage"
"rdgC","Cis x Trans","Stage"
"bsh","Cis x Trans","Stage"
"spartin","Cis x Trans","Stage"
"CG4866","Cis x Trans","Stage"
"CG10863","Cis x Trans","Stage"
"l(1)G0020","Cis x Trans","Stage"
"gro","Cis x Trans","Stage"
"Nak","Cis x Trans","Stage"
"Dyb","Cis x Trans","Stage"
"CG30269","Cis x Trans","Stage"
"ru","Cis x Trans","Stage"
"SRPK","Cis x Trans","Stage"
"betaTub56D","Cis x Trans","Stage"
"Hexo2","Cis x Trans","Stage"
"CG17650","Cis x Trans","Stage"
"CG33080","Cis x Trans","Stage"
"CG32457","Cis x Trans","Stage"
"cn","Cis x Trans","Stage"
"CG11241","Cis x Trans","Stage"
"TwdlC","Cis x Trans","Stage"
"CG9360","Cis x Trans","Stage"
"Grip","Cis x Trans","Stage"
"CG12643","Cis x Trans","Stage"
"mRpS18B","Cis x Trans","Stage"
"Gr89a","Cis x Trans","Stage"
"CG15210","Cis x Trans","Stage"
"ND-15","Cis x Trans","Stage"
"Psn","Cis x Trans","Stage"
"Rcd2","Cis x Trans","Stage"
"ocm","Cis x Trans","Stage"
"CG9953","Cis x Trans","Stage"
"Oseg6","Cis x Trans","Stage"
"CG5455","Cis x Trans","Stage"
"CG8738","Cis x Trans","Stage"
"CG2254","Cis x Trans","Stage"
"CG5697","Cis x Trans","Stage"
"CG44245","Cis x Trans","Stage"
"Mgat2","Cis x Trans","Stage"
"CG33217","Cis x Trans","Stage"
"tko","Cis x Trans","Stage"
"CG42376","Cis x Trans","Stage"
"CG9747","Cis x Trans","Stage"
"CG34030","Cis x Trans","Stage"
"Thor","Cis x Trans","Stage"
"Acer","Cis x Trans","Stage"
"CG31817","Cis x Trans","Stage"
"CG1552","Cis x Trans","Stage"
"Awh","Cis x Trans","Stage"
"Smyd5","Cis x Trans","Stage"
"Edg78E","Cis x Trans","Stage"
"Ttc19","Cis x Trans","Stage"
"CG14416","Cis x Trans","Stage"
"CG14982","Cis x Trans","Stage"
"sinu","Cis x Trans","Stage"
"CG3091","Cis x Trans","Stage"
"CecA2","Cis x Trans","Stage"
"grass","Cis x Trans","Stage"
"CG16863","Cis x Trans","Stage"
"mRpL32","Cis x Trans","Stage"
"RfC38","Cis x Trans","Stage"
"santa-maria","Cis x Trans","Stage"
"CG13900","Cis x Trans","Stage"
"CG6495","Cis x Trans","Stage"
"CG3339","Cis x Trans","Stage"
"Nup50","Cis x Trans","Stage"
"sli","Cis x Trans","Stage"
"CG15528","Cis x Trans","Stage"
"CG42240","Cis x Trans","Stage"
"EndoA","Cis x Trans","Stage"
"alpha4GT1","Cis x Trans","Stage"
"Nup214","Cis x Trans","Stage"
"tey","Cis x Trans","Stage"
"Cpr51A","Cis x Trans","Stage"
"jbug","Cis x Trans","Stage"
"CG4839","Cis x Trans","Stage"
"CG13298","Cis x Trans","Stage"
"zetaTry","Cis x Trans","Stage"
"lqf","Cis x Trans","Stage"
"mus81","Cis x Trans","Stage"
"CG6362","Cis x Trans","Stage"
"Cep89","Cis x Trans","Stage"
"CG10262","Cis x Trans","Stage"
"RluA-2","Cis x Trans","Stage"
"Rbf","Cis x Trans","Stage"
"Task7","Cis x Trans","Stage"
"CG6296","Cis x Trans","Stage"
"St3","Cis x Trans","Stage"
"CG6271","Cis x Trans","Stage"
"CG1463","Cis x Trans","Stage"
"Smyd4-4","Cis x Trans","Stage"
"bonsai","Cis x Trans","Stage"
"CG14528","Cis x Trans","Stage"
"CG14407","Cis x Trans","Stage"
"NC2beta","Cis x Trans","Stage"
"Rpn6","Cis x Trans","Stage"
"ens","Cis x Trans","Stage"
"CG11786","Cis x Trans","Stage"
"CG14434","Cis x Trans","Stage"
"CG10584","Cis x Trans","Stage"
"CG12012","Cis x Trans","Stage"
"Cyp311a1","Cis x Trans","Stage"
"CG15877","Cis x Trans","Stage"
"CecB","Cis x Trans","Stage"
"Ir40a","Cis x Trans","Stage"
"mi","Cis x Trans","Stage"
"CG8519","Cis x Trans","Stage"
"CG31883","Cis x Trans","Stage"
"Cyp9c1","Cis x Trans","Stage"
"CG14301","Cis x Trans","Stage"
"CG2930","Cis x Trans","Stage"
"CG15767","Cis x Trans","Stage"
"mRpS18C","Cis x Trans","Stage"
"CG9123","Cis x Trans","Stage"
"Rpn1","Cis x Trans","Stage"
"CG30259","Cis x Trans","Stage"
"dbe","Cis x Trans","Stage"
"lds","Cis x Trans","Stage"
"pad","Cis x Trans","Stage"
"Cngl","Cis x Trans","Stage"
"CG5022","Cis x Trans","Stage"
"CG44153","Cis x Trans","Stage"
"CG10827","Cis x Trans","Stage"
"CG6406","Cis x Trans","Stage"
"CG11095","Cis x Trans","Stage"
"CG10051","Cis x Trans","Stage"
"CG3756","Cis x Trans","Stage"
"l(2)03659","Cis x Trans","Stage"
"wts","Cis x Trans","Stage"
"dob","Cis x Trans","Stage"
"TwdlQ","Cis x Trans","Stage"
"CG44002","Cis x Trans","Stage"
"mRpS17","Cis x Trans","Stage"
"CG15803","Cis x Trans","Stage"
"Col4a1","Cis x Trans","Stage"
"lov","Cis x Trans","Stage"
"Fic","Cis x Trans","Stage"
"CG10600","Cis x Trans","Stage"
"CG5550","Cis x Trans","Stage"
"CG12990","Cis x Trans","Stage"
"Pex11","Cis x Trans","Stage"
"CG3604","Cis x Trans","Stage"
"CG31176","Cis x Trans","Stage"
"CG31559","Cis x Trans","Stage"
"wcy","Cis x Trans","Stage"
"CG5903","Cis x Trans","Stage"
"LysRS","Cis x Trans","Stage"
"Cyt-b5","Cis x Trans","Stage"
"Gr64c","Cis x Trans","Stage"
"Ccp84Ac","Cis x Trans","Stage"
"CG11417","Cis x Trans","Stage"
"Osi18","Cis x Trans","Stage"
"ETH","Cis x Trans","Stage"
"CG13905","Cis x Trans","Stage"
"AspRS-m","Cis x Trans","Stage"
"mRpL28","Cis x Trans","Stage"
"CG6287","Cis x Trans","Stage"
"CG33056","Cis x Trans","Stage"
"CG14451","Cis x Trans","Stage"
"ths","Cis x Trans","Stage"
"cdm","Cis x Trans","Stage"
"CG10912","Cis x Trans","Stage"
"Cyp4e1","Cis x Trans","Stage"
"CG10077","Cis x Trans","Stage"
"CG34394","Cis x Trans","Stage"
"Cyp4d8","Cis x Trans","Stage"
"CG7806","Cis x Trans","Stage"
"CG3511","Cis x Trans","Stage"
"S6kII","Cis x Trans","Stage"
"Xpc","Cis x Trans","Stage"
"CG11340","Cis x Trans","Stage"
"Cyp4d20","Cis x Trans","Stage"
"Taldo","Cis x Trans","Stage"
"eIF5B","Cis x Trans","Stage"
"mRpL30","Cis x Trans","Stage"
"DNApol-epsilon58","Cis x Trans","Stage"
"robo3","Cis x Trans","Stage"
"CG33144","Cis x Trans","Stage"
"CG13744","Cis x Trans","Stage"
"Optix","Cis x Trans","Stage"
"CG3704","Cis x Trans","Stage"
"laza","Cis x Trans","Stage"
"l(2)tid","Cis x Trans","Stage"
"CG3328","Cis x Trans","Stage"
"CG1969","Cis x Trans","Stage"
"Cdk7","Cis x Trans","Stage"
"Gip","Cis x Trans","Stage"
"CG42360","Cis x Trans","Stage"
"CG10970","Cis x Trans","Stage"
"CG10362","Cis x Trans","Stage"
"rswl","Cis x Trans","Stage"
"Hcs","Cis x Trans","Stage"
"mRpL10","Cis x Trans","Stage"
"Ssk","Cis x Trans","Stage"
"CCHa1-R","Cis x Trans","Stage"
"CanB","Cis x Trans","Stage"
"GATAd","Cis x Trans","Stage"
"Debcl","Cis x Trans","Stage"
"Tace","Cis x Trans","Stage"
"CG14450","Cis x Trans","Stage"
"CG3597","Cis x Trans","Stage"
"mRpS28","Cis x Trans","Stage"
"mRpL50","Cis x Trans","Stage"
"CG31955","Cis x Trans","Stage"
"Lst","Cis x Trans","Stage"
"CG3045","Cis x Trans","Stage"
"Kaz1-ORFB","Cis x Trans","Stage"
"san","Cis x Trans","Stage"
"Rat1","Cis x Trans","Stage"
"Ir76a","Cis x Trans","Stage"
"Rsf1","Cis x Trans","Stage"
"CG33964","Cis x Trans","Stage"
"Ir75d","Cis x Trans","Stage"
"CG5001","Cis x Trans","Stage"
"Dlip1","Cis x Trans","Stage"
"Lar","Cis x Trans","Stage"
"CG6901","Cis x Trans","Stage"
"Pi4KIIalpha","Cis x Trans","Stage"
"B-H1","Cis x Trans","Stage"
"CG9287","Cis x Trans","Stage"
"tzn","Cis x Trans","Stage"
"CG12038","Cis x Trans","Stage"
"CG18281","Cis x Trans","Stage"
"CG14274","Cis x Trans","Stage"
"CG5745","Cis x Trans","Stage"
"mAChR-A","Cis x Trans","Stage"
"CG42272","Cis x Trans","Stage"
"wb","Cis x Trans","Stage"
"CG2811","Cis x Trans","Stage"
"GABA-B-R3","Cis x Trans","Stage"
"CG15534","Cis x Trans","Stage"
"CG7849","Cis x Trans","Stage"
"Gr97a","Cis x Trans","Stage"
"fbl","Cis x Trans","Stage"
"CG11414","Cis x Trans","Stage"
"Liprin-gamma","Cis x Trans","Stage"
"CG1622","Cis x Trans","Stage"
"Lapsyn","Cis x Trans","Stage"
"CG11563","Cis x Trans","Stage"
"CG5597","Cis x Trans","Stage"
"CG1572","Cis x Trans","Stage"
"dl","Cis x Trans","Stage"
"H15","Cis x Trans","Stage"
"skd","Cis x Trans","Stage"
"TwdlO","Cis x Trans","Stage"
"CG10764","Cis x Trans","Stage"
"CG17163","Cis x Trans","Stage"
"CG14837","Cis x Trans","Stage"
"Ir25a","Cis x Trans","Stage"
"Gr98b","Cis x Trans","Stage"
"hid","Cis x Trans","Stage"
"dos","Cis x Trans","Stage"
"pgant2","Cis x Trans","Stage"
"CG1537","Cis x Trans","Stage"
"CG30423","Cis x Trans","Stage"
"Mks1","Cis x Trans","Stage"
"CG15406","Cis x Trans","Stage"
"CG13928","Cis x Trans","Stage"
"Klp64D","Cis x Trans","Stage"
"dgrn","Cis x Trans","Stage"
"CaBP1","Cis x Trans","Stage"
"CG30356","Cis x Trans","Stage"
"CLS","Cis x Trans","Stage"
"dpr3","Cis x Trans","Stage"
"Cisd2","Cis x Trans","Stage"
"ArgRS-m","Cis x Trans","Stage"
"Cpr35B","Cis x Trans","Stage"
"Tsp26A","Cis x Trans","Stage"
"CG13282","Cis x Trans","Stage"
"CG15822","Cis x Trans","Stage"
"Dcr-2","Cis x Trans","Stage"
"CG14340","Cis x Trans","Stage"
"CG2975","Cis x Trans","Stage"
"CG5694","Cis x Trans","Stage"
"Or42b","Cis x Trans","Stage"
"Cpr65Ea","Cis x Trans","Stage"
"Fkbp14","Cis x Trans","Stage"
"imd","Cis x Trans","Stage"
"link","Cis x Trans","Stage"
"Gr32a","Cis x Trans","Stage"
"ebd2","Cis x Trans","Stage"
"mRpS29","Cis x Trans","Stage"
"CG15537","Cis x Trans","Stage"
"lbk","Cis x Trans","Stage"
"Ptth","Cis x Trans","Stage"
"Mipp2","Cis x Trans","Stage"
"CG11076","Cis x Trans","Stage"
"Tango6","Cis x Trans","Stage"
"CG12018","Cis x Trans","Stage"
"CG12128","Cis x Trans","Stage"
"CG3603","Cis x Trans","Stage"
"CG13796","Cis x Trans","Stage"
"CG7971","Cis x Trans","Stage"
"Wwox","Cis x Trans","Stage"
"Mtr3","Cis x Trans","Stage"
"CG12744","Cis x Trans","Stage"
"Mid1","Cis x Trans","Stage"
"cid","Cis x Trans","Stage"
"mus312","Cis x Trans","Stage"
"NSD","Cis x Trans","Stage"
"CG18088","Cis x Trans","Stage"
"CG9422","Cis x Trans","Stage"
"vkg","Cis x Trans","Stage"
"CG10814","Cis x Trans","Stage"
"CG11168","Cis x Trans","Stage"
"shrb","Cis x Trans","Stage"
"Wnk","Cis x Trans","Stage"
"CG6180","Cis x Trans","Stage"
"CG11412","Cis x Trans","Stage"
"NTPase","Cis x Trans","Stage"
"Orc4","Cis x Trans","Stage"
"scf","Cis x Trans","Stage"
"mdlc","Cis x Trans","Stage"
"Tusp","Cis x Trans","Stage"
"spen","Cis x Trans","Stage"
"pim","Cis x Trans","Stage"
"CG32857","Cis x Trans","Stage"
"CG1637","Cis x Trans","Stage"
"CG2258","Cis x Trans","Stage"
"kek3","Cis x Trans","Stage"
"Dp","Cis x Trans","Stage"
"Br140","Cis x Trans","Stage"
"CG15522","Cis x Trans","Stage"
"Rpn11","Cis x Trans","Stage"
"CG12746","Cis x Trans","Stage"
"sv","Cis x Trans","Stage"
"lid","Cis x Trans","Stage"
"emp","Cis x Trans","Stage"
"tinc","Cis x Trans","Stage"
"Ide","Cis x Trans","Stage"
"CG4741","Cis x Trans","Stage"
"CG15358","Cis x Trans","Stage"
"CG10730","Cis x Trans","Stage"
"CG14419","Cis x Trans","Stage"
"CG3964","Cis x Trans","Stage"
"CG12014","Cis x Trans","Stage"
"Mp","Cis x Trans","Stage"
"Acp26Ab","Cis x Trans","Stage"
"rad","Cis x Trans","Stage"
"faf","Cis x Trans","Stage"
"Klf15","Cis x Trans","Stage"
"CG34347","Cis x Trans","Stage"
"mri","Cis x Trans","Stage"
"fz4","Cis x Trans","Stage"
"CG14880","Cis x Trans","Stage"
"CG33514","Cis x Trans","Stage"
"CG9911","Cis x Trans","Stage"
"CG8204","Cis x Trans","Stage"
"CG44247","Cis x Trans","Stage"
"csul","Cis x Trans","Stage"
"arg","Cis x Trans","Stage"
"CG32816","Cis x Trans","Stage"
"qkr58E-2","Cis x Trans","Stage"
"CG7126","Cis x Trans","Stage"
"PGAP5","Cis x Trans","Stage"
"CG2004","Cis x Trans","Stage"
"CG7834","Cis x Trans","Stage"
"CG5937","Cis x Trans","Stage"
"CG7227","Cis x Trans","Stage"
"CG11164","Cis x Trans","Stage"
"CG9447","Cis x Trans","Stage"
"CG7236","Cis x Trans","Stage"
"CG6094","Cis x Trans","Stage"
"CG7341","Cis x Trans","Stage"
"shtd","Cis x Trans","Stage"
"polo","Cis x Trans","Stage"
"CG17855","Cis x Trans","Stage"
"CG15356","Cis x Trans","Stage"
"Reps","Cis x Trans","Stage"
"l(3)05822","Cis x Trans","Stage"
"CG33120","Cis x Trans","Stage"
"CG9673","Cis x Trans","Stage"
"CG14342","Cis x Trans","Stage"
"Asph","Cis x Trans","Stage"
"Cirl","Cis x Trans","Stage"
"CG14881","Cis x Trans","Stage"
"CG9723","Cis x Trans","Stage"
"Prosalpha1","Cis x Trans","Stage"
"CG8613","Cis x Trans","Stage"
"mRpL38","Cis x Trans","Stage"
"Zyx","Cis x Trans","Stage"
"CG33969","Cis x Trans","Stage"
"Gycalpha99B","Cis x Trans","Stage"
"CG11409","Cis x Trans","Stage"
"Plc21C","Cis x Trans","Stage"
"Tie","Cis x Trans","Stage"
"geko","Cis x Trans","Stage"
"CG12935","Cis x Trans","Stage"
"CG5246","Cis x Trans","Stage"
"CG30499","Cis x Trans","Stage"
"kn","Cis x Trans","Stage"
"Cerk","Cis x Trans","Stage"
"Rho1","Cis x Trans","Stage"
"Prosalpha6","Cis x Trans","Stage"
"Prosalpha3","Cis x Trans","Stage"
"Dgk","Cis x Trans","Stage"
"Wnt10","Cis x Trans","Stage"
"TwdlF","Cis x Trans","Stage"
"AstC-R1","Cis x Trans","Stage"
"CG5721","Cis x Trans","Stage"
"CG10802","Cis x Trans","Stage"
"CG33474","Cis x Trans","Stage"
"CG11851","Cis x Trans","Stage"
"bbc","Cis x Trans","Stage"
"Dhc98D","Cis x Trans","Stage"
"vig2","Cis x Trans","Stage"
"CG11406","Cis x Trans","Stage"
"CG12895","Cis x Trans","Stage"
"CG1850","Cis x Trans","Stage"
"Iml1","Cis x Trans","Stage"
